# Community number:
# 12
    # node  community
         0          0
         1          0
         2          0
         3          0
         4          0
         5          0
         6          0
         7          0
         8          0
         9          0
        10          0
        11          0
        12          0
        13          0
        14          0
        72          0
        73          0
        74          0
        75          0
        76          0
        77          0
        79          0
        81          0
        83          0
       117          0
       120          0
       121          0
        15          1
        16          1
        17          1
        18          1
        19          1
        20          1
        21          1
        22          1
        23          1
        24          1
        25          1
        26          1
        27          1
        28          1
        29          1
        30          1
        31          1
        33          1
        34          1
       112          1
       116          1
        32          2
        86          2
        87          2
        88          2
        89          2
        90          2
        91          2
        92          2
        93          2
        94          2
        98          2
        99          2
       100          2
       101          2
       102          2
       103          2
       104          2
       105          2
       106          2
       108          2
       109          2
       110          2
       111          2
       113          2
       114          2
       115          2
       118          2
       119          2
       122          2
       123          2
       126          2
        35          3
        36          3
        37          3
        39          3
        40          3
        41          3
        42          3
        43          3
        44          3
        45          3
        46          3
        47          3
        48          3
        49          3
        50          3
        51          3
        52          3
        53          3
        54          3
        55          3
        56          3
        57          3
        58          3
        59          3
        60          3
        61          3
        62          3
        63          3
        64          3
        65          3
        66          3
        67          3
        68          3
        69          3
        84          3
       107          3
       125          3
        38          4
        70          4
        71          4
        85          4
        97          4
       124          4
       127          4
       128          4
       136          4
       139          4
       143          4
       144          4
       145          4
       146          4
       147          4
       148          4
       149          4
       150          4
        82          5
        95          5
       130          5
       131          5
       201          5
       202          5
       203          5
       204          5
        96          6
       205          6
        78          7
        80          7
       129          7
       132          7
       133          7
       134          7
       135          7
       137          7
       138          7
       140          7
       141          7
       142          7
       161          7
       151          8
       152          8
       153          8
       154          8
       155          8
       156          8
       157          8
       158          8
       159          8
       160          8
       162          8
       163          8
       164          8
       165          8
       166          9
       167          9
       168          9
       169          9
       170          9
       171          9
       172          9
       173          9
       174          9
       175         10
       176         10
       181         10
       182         10
       183         10
       185         10
       186         10
       187         10
       188         10
       189         10
       190         10
       191         10
       192         10
       193         10
       194         10
       195         10
       196         10
       197         10
       198         10
       199         10
       200         10
       177         11
       178         11
       179         11
       180         11
       184         11
