# Community number:
# 15
    # node  community
         0          0
         4          0
         8          0
        25          0
        58          0
        60          0
        86          0
        91          0
        94          0
        96          0
       111          0
       119          0
       146          0
       163          0
       177          0
       189          0
       203          0
       213          0
       239          0
       246          0
       252          0
       253          0
       301          0
       320          0
       322          0
       328          0
       342          0
       354          0
       358          0
         1          1
        23          1
        29          1
        53          1
        65          1
        68          1
        71          1
        75          1
        76          1
        90          1
        98          1
        99          1
       101          1
       114          1
       128          1
       130          1
       131          1
       151          1
       158          1
       164          1
       168          1
       175          1
       176          1
       181          1
       185          1
       188          1
       202          1
       206          1
       210          1
       214          1
       221          1
       227          1
       232          1
       245          1
       262          1
       268          1
       286          1
       288          1
       294          1
       310          1
       319          1
       323          1
       327          1
       340          1
         2          2
         7          2
        13          2
        14          2
        20          2
        22          2
        24          2
        34          2
        37          2
        46          2
        47          2
        48          2
        50          2
        52          2
        63          2
        64          2
        66          2
        70          2
        77          2
        87          2
        89          2
        92          2
        95          2
       100          2
       112          2
       113          2
       117          2
       132          2
       144          2
       147          2
       150          2
       160          2
       162          2
       165          2
       183          2
       184          2
       187          2
       197          2
       204          2
       205          2
       219          2
       220          2
       242          2
       273          2
       281          2
       289          2
       299          2
       304          2
       315          2
       337          2
       345          2
       347          2
       349          2
       352          2
       356          2
       360          2
         3          3
        17          3
        19          3
        51          3
        62          3
       123          3
       140          3
       145          3
       179          3
       195          3
       216          3
       218          3
       225          3
       257          3
       259          3
       292          3
       331          3
       361          3
         5          4
        28          4
        61          4
       120          4
       154          4
       182          4
       207          4
       247          4
       250          4
       275          4
       287          4
       293          4
       295          4
       302          4
       312          4
       314          4
       338          4
       348          4
       357          4
         6          5
        11          5
        21          5
        27          5
        55          5
       107          5
       115          5
       152          5
       153          5
       157          5
       173          5
       201          5
       241          5
       249          5
       251          5
       263          5
       270          5
       284          5
       291          5
       298          5
       306          5
       309          5
       329          5
         9          6
        38          6
        44          6
        69          6
       126          6
       137          6
       139          6
       148          6
       229          6
       350          6
       359          6
        10          7
        49          7
        57          7
        74          7
        78          7
        80          7
        84          7
        93          7
       102          7
       106          7
       109          7
       135          7
       143          7
       155          7
       159          7
       166          7
       169          7
       186          7
       190          7
       208          7
       209          7
       212          7
       224          7
       228          7
       230          7
       238          7
       243          7
       256          7
       264          7
       271          7
       276          7
       279          7
       280          7
       283          7
       303          7
       307          7
       317          7
       321          7
       325          7
       334          7
        12          8
        15          8
        42          8
        72          8
        73          8
        83          8
        97          8
       133          8
       141          8
       192          8
       196          8
       215          8
       223          8
       231          8
       233          8
       237          8
       254          8
       260          8
       274          8
       324          8
       341          8
       351          8
       353          8
        16          9
        18          9
        39          9
        41          9
        56          9
        82          9
        88          9
       103          9
       122          9
       125          9
       127          9
       142          9
       167          9
       172          9
       174          9
       178          9
       217          9
       234          9
       265          9
       269          9
       285          9
       290          9
       305          9
       308          9
       326          9
       332          9
       343          9
        26         10
        30         10
        32         10
        33         10
        35         10
        40         10
        43         10
        45         10
        59         10
        79         10
        81         10
        85         10
       104         10
       110         10
       116         10
       118         10
       138         10
       149         10
       156         10
       180         10
       191         10
       193         10
       194         10
       198         10
       199         10
       200         10
       211         10
       226         10
       240         10
       255         10
       258         10
       261         10
       272         10
       278         10
       296         10
       297         10
       313         10
       318         10
       335         10
       336         10
       344         10
       355         10
        31         11
        36         11
        54         11
       124         11
       170         11
       171         11
       277         11
       300         11
       333         11
       346         11
        67         12
       105         12
       108         12
       121         12
       129         12
       161         12
       222         12
       235         12
       236         12
       244         12
       248         12
       267         12
       282         12
       316         12
       330         12
       339         12
       134         13
       266         13
       136         14
       311         14
