# Community number:
# 12
    # node  community
         0          0
         3          0
         7          0
         8          0
        13          0
        14          0
        21          0
        22          0
        33          0
        34          0
        43          0
        46          0
        48          0
        49          0
        53          0
        58          0
        68          0
        81          0
        93          0
       105          0
       111          0
       113          0
       115          0
       121          0
       128          0
       163          0
       190          0
       193          0
         1          1
         2          1
        17          1
        18          1
        19          1
        45          1
        72          1
        75          1
        88          1
        90          1
       107          1
       143          1
       161          1
       180          1
       189          1
         4          2
        24          2
        25          2
        26          2
        40          2
        47          2
        78          2
        91          2
        92          2
       100          2
       102          2
       117          2
       136          2
       150          2
       162          2
       184          2
       185          2
       192          2
         5          3
        16          3
        23          3
        76          3
        79          3
        80          3
        86          3
        87          3
        96          3
        97          3
       114          3
       127          3
       130          3
       142          3
       144          3
       146          3
       147          3
       149          3
       159          3
       186          3
       194          3
       207          3
         6          4
        30          4
        35          4
        52          4
        54          4
        57          4
        95          4
       110          4
       112          4
       129          4
         9          5
        12          5
        28          5
        37          5
        39          5
        42          5
        50          5
        51          5
        56          5
        65          5
        67          5
        69          5
        77          5
        84          5
        85          5
       101          5
       106          5
       109          5
       118          5
       123          5
       125          5
       126          5
       137          5
       140          5
       141          5
       148          5
       164          5
       168          5
       172          5
       173          5
       174          5
       175          5
       188          5
       195          5
       197          5
       198          5
       212          5
        10          6
        11          6
        32          6
        63          6
        83          6
       151          6
       153          6
       154          6
       165          6
       166          6
       169          6
       206          6
        15          7
        38          7
        60          7
        61          7
        89          7
       108          7
       132          7
       134          7
       160          7
       171          7
       183          7
        20          8
        70          8
        71          8
       133          8
       155          8
       156          8
       157          8
       200          8
       201          8
       202          8
       203          8
       204          8
       205          8
        31          9
        36          9
        41          9
        62          9
        66          9
        73          9
        74          9
        98          9
       103          9
       116          9
       145          9
       170          9
       211          9
        29         10
        55         10
        94         10
       124         10
       131         10
       158         10
       167         10
       176         10
       177         10
       178         10
       179         10
       181         10
       182         10
       196         10
       199         10
       208         10
       209         10
       210         10
        27         11
        44         11
        59         11
        64         11
        82         11
        99         11
       104         11
       119         11
       120         11
       122         11
       135         11
       138         11
       139         11
       152         11
       187         11
       191         11
